name,description,detail_url
A.Vogel Bronchosan 100 ml,A.Vogel Bronchosan dibuat dari ekstrak tunas pohon cemara pilihan yang dapat membantu meredakan batuk berdahak.,https://www.konimex.com/product/pharmaceutical/over-the-counter/obat-batuk-pilek/avogel-bronchosan-100-ml
ANAKONIDIN,"Anakonidin adalah sirup obat batuk dan pilek untuk anak Tanpa alkohol dengan rasa cherry.
Tersedia dalam kemasan botol 30 ml dan 60 ml.",https://www.konimex.com/product/pharmaceutical/over-the-counter/obat-batuk-pilek/anakonidin-1
ANAKONIDIN OBH,"Anakonidin OBH adalah sirup obat batuk dan Flu untuk anak Tanpa alkohol dengan rasa strawberry untuk meredakan batuk dan gejala flu seperti demam, sakit kepala, hidung tersumbat, serta bersin-bersin.
Tersedia dalam kemasan botol 30 ml dan 60 ml.",https://www.konimex.com/product/pharmaceutical/over-the-counter/obat-batuk-pilek/anakonidin-obh-1
ASKAMEX,"Obat cacing untuk mengatasi cacing gelang dan cacing tambang pada anak-anak dan dewasa.
Tersedia dalam kemasan strip isi 4 tablet.",https://www.konimex.com/product/pharmaceutical/over-the-counter/antelmintik/askamex-1
Braito Dry Eyes,"Tetes mata yang berfungsi meredakan perih yang disebabkan mata kering.
Tersedia dalam kemasan botol 5ml.",https://www.konimex.com/product/pharmaceutical/over-the-counter/obat-tetes-mata/braito-dry-eyes
BRAITO Original,"Tetes mata steril untuk meredakan mata merah karena iritasi.
Tersedia dalam kemasan sekali pakai 0.5ml dan 5ml.",https://www.konimex.com/product/pharmaceutical/over-the-counter/obat-tetes-mata/braito-original-1
CALOREX Syrup,"Sirup obat batuk yang disertai dengan flu. Tersedia dalam kemasan botol 60ml, rasa jeruk. Obat ini hanya bisa dibeli dengan resep dokter.",https://www.konimex.com/product/pharmaceutical/over-the-counter/calorex-syrup-1
FEMINAX,"Obat nyeri haid, mengurangi rasa sakit pada waktu haid (dismenorea) dan pada kolik (kejang pada perut).
Tersedia dalam kemasan strip isi 4 tablet.",https://www.konimex.com/product/pharmaceutical/over-the-counter/analgesik-antipiretik/feminax-1
FUNGIDERM,"Fungiderm berguna untuk mengatasi infeksi jamur pada kulit dan kuku, yang disebabkan oleh dermatofit, kandida, ragi-ragi dan jamur lainnya.
Juga dapat mengatasi infeksi sekunder karena bakteri gram positif yang menyertai mikosis. Tersedia dalam kemasan tube 10 g.
Komposisi : Mengandung Clotrimazole 1%
Aturan pakai : Oleskan krim secukupnya 2-3 kali sehari pada bagian yang sakit selama 10-14 hari secara teratur dan tidak terhenti. Infeksi pada sela-sela jari kaki membutuhkan waktu 1 bulan...",https://www.konimex.com/product/pharmaceutical/over-the-counter/antijamur-anti-parasit/fungiderm-1
INZA,"Obat flu untuk meringankan gejala flu seperti demam, sakit kepala, hidung tersumbat dan bersin-bersin.
Tersedia dalam kemasan strip isi 4 kaplet.",https://www.konimex.com/product/pharmaceutical/over-the-counter/obat-batuk-pilek/inza-1
INZA FLU & BATUK,Meredakan Flu & Batuk Tidak Berdahak,https://www.konimex.com/product/pharmaceutical/over-the-counter/obat-batuk-pilek/inza-flu-batuk
INZANA,"Tablet kunyah penurun panas demam dan pereda nyeri pada anak, dengan rasa jeruk.
Tersedia dalam kemasan strip isi 4 tablet.",https://www.konimex.com/product/pharmaceutical/over-the-counter/analgesik-antipiretik/inzana-1
KONIDIN,"Konidin Tablet bekerja sebagai antitusif yang bisa redakan batuk kering atau tidak berdahak, expectorant untuk redakan batuk berdahak, dan antihistamin yang redakan batuk alergi.",https://www.konimex.com/product/pharmaceutical/over-the-counter/obat-batuk-pilek/konidin-1
KONIDIN OBH (BARU!),"(BARU)
Konidin OBH meredakan batuk berdahak tanpa rasa ngantuk. Bantu mengencerkan dan mengeluarkan dahak dari tenggorokan.",https://www.konimex.com/product/pharmaceutical/over-the-counter/konidin-obh-baru
KONVERMEX,"Obat cacing untuk keluarga dalam bentuk suspensi, tablet & kaplet.
Tersedia KONVERMEX 125 dalam bentuk suspensi (rasa jeruk) dan tablet untuk anak serta KONVERMEX 250 dalam bentuk suspensi (rasa vanilla latte) dan kaplet untuk dewasa.
 

    
        
            
            KONVERMEX 125 Tablet
            Obat cacing Konvermex 125 untuk dewasa dalam bentuk tablet.
            
             
        
        
            
            KONVERMEX 250 Kaplet
         ...",https://www.konimex.com/product/pharmaceutical/over-the-counter/antelmintik/konvermex-1
Madrox,"Madrox mengurangi gejala – gejala yang berhubungan dengan kelebihan asam lambung dan tukak usus 12 jari seperti mual, nyeri lambung, nyeri ulu hati, kembung dan perasaan penuh pada lambung.",https://www.konimex.com/product/pharmaceutical/over-the-counter/antasida/madrox-1
MEXAQUIN,"Mencegah dan mengobati segala jenis penyakit malaria, dalam kemasan praktis isi 4 tablet.",https://www.konimex.com/product/pharmaceutical/over-the-counter/antimalaria/mexaquin-1
MIGRAN,"Kombinasi parasetamol dan Isopropilantipirin, efektif meredakan sakit kepala pada migrain.
Tersedia dalam kemasan strip isi 4 tablet.",https://www.konimex.com/product/pharmaceutical/over-the-counter/analgesik-antipiretik/migran-1
Nasamex Forte,Untuk meringankan bersin – bersin dan hidung tersumbat karena pilek.,https://www.konimex.com/product/pharmaceutical/over-the-counter/nasamex-forte-1
NEO NAPACIN,Obat sesak napas,https://www.konimex.com/product/pharmaceutical/over-the-counter/antiasma/neo-napacin-1
OBH Sase,"Sirup obat batuk cair (OBH), meredakan batuk berdahak, rasa pepermintnya melegakan tenggorokan.
Dalam kemasan sachet yang praktis.",https://www.konimex.com/product/pharmaceutical/over-the-counter/obat-batuk-pilek/obh-sase
PARAMEX,"Tablet obat sakit kepala.
Kombinasi Propyphenazone dan Paracetamol dalam Paramex merupakan kombinasi yang saling memperkuat khasiat analgetik (meringankan rasa sakit). Paramex mempunyai efek untuk meringankan rasa sakit. 
Tersedia dalam kemasan strip isi 4 tablet.",https://www.konimex.com/product/pharmaceutical/over-the-counter/analgesik-antipiretik/paramex-1
PARAMEX Flu & Batuk,"Tablet obat flu yang disertai batuk.
Meringankan gejala flu seperti demam, sakit kepala, hidung tersumbat yang disertai batuk tak berdahak.
Tersedia dalam kemasan strip isi 4 tablet.",https://www.konimex.com/product/pharmaceutical/over-the-counter/obat-batuk-pilek/paramex-flu-batuk-1
PARAMEX Flu & Batuk PE,Tablet obat flu yang disertai batuk tidak berdahak,https://www.konimex.com/product/pharmaceutical/over-the-counter/obat-batuk-pilek/paramex-flu-batuk-pe
PARAMEX Nyeri Otot,"Tablet pereda nyeri otot dan sendi dengan Kombinasi Paracetamol (350 mg) dan Ibuprofen (200 mg) mempunyai efek analgesik dan antipiretik.
Tersedia dalam kemasan strip isi 4 tablet.",https://www.konimex.com/product/pharmaceutical/over-the-counter/paramex-nyeri-otot
Paramex Nyeri Otot Hot Cream,"Krim untuk meredakan pegal-pegal, nyeri sendi dan nyeri otot.
Tersedia dalam kemasan tube isi 30 dan 60 g",https://www.konimex.com/product/pharmaceutical/over-the-counter/paramex-nyeri-otot-hot-cream
Paramex SK,"Baru. Kaplet obat dengan formula Paracetamol dan Caffeine untuk meringankan sakit kepala dan sakit gigi.
Tersedia dalam kemasan blister isi 6 kaplet.",https://www.konimex.com/product/pharmaceutical/over-the-counter/analgesik-antipiretik/paramex-sk
SILADEX Antitussive (BARU!),"Sirup obat batuk, meredakan batuk tidak berdahak atau batuk kering yang disertai alergi. Bekerja meningkatkan ambang rangsang refleks batuk dan sebagai antihistamin
Tersedia dalam kemasan botol isi 30 ml, 60 ml dan 100 ml.",https://www.konimex.com/product/pharmaceutical/over-the-counter/obat-batuk-pilek/siladex-antitussive-baru
SILADEX Cough & Cold,"Sirup obat batuk Dengan kandungan Dextromethorphan Hbr, Doxylamine Succinate, Pseudoephedrine HCL untuk meringankan batuk dan pilek.
Tersedia dalam kemasan botol isi 30 ml, 60 ml dan 100 ml.",https://www.konimex.com/product/pharmaceutical/over-the-counter/obat-batuk-pilek/siladex-cough-cold
SILADEX COUGH HERBAL,"Aktif Redakan Batuk, Menghangatkan dan Melegakan Tenggorokan",https://www.konimex.com/product/pharmaceutical/over-the-counter/obat-batuk-pilek/siladex-cough-herbal
SILADEX DMP (BARU!),"Sirup obat, meredakan batuk tidak berdahak atau batuk kering yang disertai alergi.
Tersedia dalam kemasan botol 30 ml dan 60 ml.",https://www.konimex.com/product/pharmaceutical/over-the-counter/obat-batuk-pilek/siladex-dmp-baru
SILADEX FLU,SILADEX FLU tersedia dalam kemasan botol 60 ml,https://www.konimex.com/product/pharmaceutical/over-the-counter/obat-batuk-pilek/siladex-flu
SILADEX Mucolytic & Expectorant,"Sirup obat batuk dengan kandungan Bromhexine HCL, Guafenesin sebagai mukolitik dan ekspektoran untuk meredakan batuk berdahak dan mempermudah pengeluaran dahak.
Tersedia dalam kemasan botol isi 30 ml, 60 ml dan 100 ml.",https://www.konimex.com/product/pharmaceutical/over-the-counter/obat-batuk-pilek/siladex-mucolytic-expectorant-1
TERMOREX Baby,"Termorex Baby dapat digunakan untuk Bayi dan anak-anak : Meringankan rasa sakit pada keadaan sakit kepala, sakit gigi, dan menurunkan demam dengan rasa jeruk.
TANPA ALKOHOL.
Tersedia dalam kemasan botol isi 15ml.",https://www.konimex.com/product/pharmaceutical/over-the-counter/termorex-baby
TERMOREX Patch,"Plester Kompres Demam Untuk Bayi dan Anak, sakit gigi dan nyeri otot.",https://www.konimex.com/product/pharmaceutical/over-the-counter/analgesik-antipiretik/termorex-patch
TERMOREX Plus,"Sirup obat flu yang disertai batuk. Untuk meringankan gejala flu seperti demam, sakit kepala, hidung tersumbat dan bersin bersin yang disertai batuk.

Tersedia dalam kemasan 30 dan 60ml.",https://www.konimex.com/product/pharmaceutical/over-the-counter/obat-batuk-pilek/termorex-plus-1
TERMOREX Sirup Turun Panas,"Sirup obat turun panas tanpa alkohol dengan rasa jeruk. Meringankan rasa sakit pada keadaan sakit kepala, sakit gigi dan menurunkan demam.
Tersedia dalam kemasan 30ml dan 60ml.",https://www.konimex.com/product/pharmaceutical/over-the-counter/analgesik-antipiretik/termorex-sirup-turun-panas-1
WISATAMEX,"Obat anti mabuk perjalanan, mencegah dan mengobati mual dan muntah karena mabuk perjalanan.
Tersedia dalam kemasan strip isi 4 tablet.",https://www.konimex.com/product/pharmaceutical/over-the-counter/antiemetik-antivertigo/wisatamex-1
